date,timestamp,countid,telpost,speciesname,speciesid,count,countback,local,location,age,sex,plumage,counttype,migtype,remark,Low,Age_det
2009-08-24,11:08:00,,1,BE,,1,,,E1,,,,,,,0,
2009-08-24,11:09:00,,2,HB,,64,,,O,,,,,,,0,
2009-08-24,11:12:00,,1,HB,,201,,,W1,,,,,,,0,
2009-08-24,11:17:00,,2,SB,,40,,,E3,,,,,,,0,
2009-08-24,11:21:00,,2,HB,,17,,,E3,,,,,,,0,
2009-08-24,11:21:00,,2,SBHB,,1,,,,,,,,,,0,
2009-08-24,11:31:00,,2,HB,,5,,,E3,,,,,,,0,
2009-08-24,11:32:00,,1,Mon,,1,,,E1,Ad,M,,,,,0,Ad
2009-08-24,11:38:00,,1,HB,,29,,,E1,,,,,,,0,
2009-08-24,11:38:00,,1,Mar,,1,,,E1,Imm,M,,,,,0,Imm
2009-08-24,11:41:00,,1,HB,,14,,,E1,,,,,,,0,
2009-08-24,11:42:00,,1,BK,,1,,,E1,,,,,,,0,
2009-08-24,11:42:00,,1,HB,,12,,,E1,,,,,,,0,
2009-08-24,11:47:00,,2,HB,,2,,,E3,,,,,,,0,
2009-08-24,11:47:00,,2,SB,,1,,,E3,,,,,,,0,
2009-08-24,11:50:00,,2,HB,,2,,,W2,Ad,M,,,,,0,Ad
2009-08-24,12:05:00,,2,LUID,,1,,,,,,,,,,0,
2009-08-24,12:10:00,,1,HB,,7,,,E3,,,,,,,0,
2009-08-24,12:10:00,,1,LUID,,1,,,E3,,,,,,,0,
2009-08-24,12:23:00,,2,SB,,3,,,O,,,,,,,0,
2009-08-24,12:25:00,,1,SBHB,,17,,,E3,,,,,,,0,
2009-08-24,12:32:00,,2,SB,,2,,,E3,,,,,,,0,
2009-08-24,12:35:00,,2,ESPH,,1,,,E1,Juv,F,,,,,0,Juv
2009-08-24,12:42:00,,1,ESPH,,1,,,E2,Juv,,,,,,0,Juv
2009-08-24,12:45:00,,1,HB,,1,,,E3,,,,,,,0,
2009-08-24,12:51:00,,2,ESPH,,1,,,E2,,FC,,,,,0,
2009-08-24,12:53:00,,2,HB,,1,,,W1,Ad,M,,,,,0,Ad
2009-08-24,12:53:00,,2,SB,,12,,,E1,,,,,,,0,
2009-08-24,13:55:00,,2,SB,,1,,,E1,Ad,,,,,,0,Ad
2009-08-24,14:50:00,,1,BE,,1,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,BK,,3,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,BK,,1,,,E3,,,,,,,0,
2009-08-24,14:50:00,,1,HB,,157,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,HB,,249,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,HB,,562,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,HB,,765,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,Mar,,1,,,O,,,,,,,0,
2009-08-24,14:50:00,,1,SB,,4,,,O,,,,,,,0,
2009-08-24,14:55:00,,1,HB,,175,,,E2,,,,,,,0,
2009-08-24,14:55:00,,1,SB,,1,,,E3,,,,,,,0,
2009-08-24,15:02:00,,1,HB,,23,,,E1,,,,,,,0,
2009-08-24,15:02:00,,1,HB,,305,,,E3,,,,,,,0,
2009-08-24,15:06:00,,1,HB,,59,,,E1,,,,,,,1,
2009-08-24,15:06:00,,1,HB,,162,,,E1,,,,,,,0,
2009-08-24,15:06:00,,1,HB,,59,,,O,,,,,,,0,
2009-08-24,15:06:00,,1,HB,,187,,,O,,,,,,,0,
2009-08-24,15:06:00,,1,HB,,250,,,O,,,,,,,0,
2009-08-24,15:06:00,,1,Mar,,1,,,O,Nonjuv,F,,,,,0,
2009-08-24,15:16:00,,1,HB,,173,,,O,,,,,,,0,
