Year,Date,Time,Station,Species,Number,RDC,numberdoublecount,Location,Low,Age,Sex,Age_det,Morph,Remark
2009,2009-09-07,14:59:00,1,LSPH,1,1,1,E1,0,NoValue,M,NoValue,NoValue,NoValue
2009,2009-09-07,15:00:00,2,HB,77,1,77,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:00:00,2,HB,77,1,77,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:02:00,2,BK,4,1,4,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:02:00,2,BK,4,1,4,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:11:00,1,Mon,1,1,1,E1,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,15:11:00,1,Pal,1,1,1,E1,0,Juv,M,Juv,NoValue,NoValue
2009,2009-09-07,15:16:00,1,CK,1,1,1,W1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:16:00,1,Mon,1,1,1,W2,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,15:18:00,1,WS,2,1,2,E2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:23:00,1,Mar,1,1,1,E1,0,Ad,M,Ad,NoValue,NoValue
2009,2009-09-07,15:25:00,2,LesGrSte,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:25:00,2,LesGrSte,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:29:00,1,CK,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:29:00,1,ESPH,1,1,1,W3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:29:00,1,Hob,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:29:00,2,MonPal,1,1,1,E3,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,15:29:00,2,MonPal,1,1,1,E3,0,Juv,NoValue,Juv,NoValue,NoValue
2009,2009-09-07,15:30:00,2,BK,15,1,15,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:30:00,2,BK,15,1,15,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:30:00,2,HB,735,1,735,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:30:00,2,HB,735,1,735,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:30:00,2,SPH,43,1,43,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:30:00,2,SPH,43,1,43,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:34:00,2,BE,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:34:00,2,BE,1,1,1,E3,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:40:00,1,SPH,1,1,1,W2,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:41:00,1,ESPH,1,1,1,E1,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:44:00,2,Mar,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
2009,2009-09-07,15:44:00,2,Mar,1,1,1,O,0,NoValue,NoValue,NoValue,NoValue,NoValue
